pathway,padj,NES,size,leadingEdge,database,pval,ES,log2err,contrast
GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION,0.8879673512374935,0.876166739178439,26,THBS4;CD81;MPP1;MAPK1;C1QBP;HMOX1;HMGB1;MCU,GO:BP,0.6503422854133755,0.2706030634808348,0.018807507340403037,Interaction
GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION,0.8884936616211411,-0.8850621858400974,32,EZR;ADIPOQ;GSTP1;CUL3;ANXA1;TSPO;SARS1;ANXA4;FBLN1;RAC1;ORM1;NPLOC4;NLRX1;SERPINB1;ATP2B1,GO:BP,0.6518926689027312,-0.2451466851990597,0.02359961962354222,Interaction
GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR,0.8884936616211411,0.84813510365247,11,PARP1;ACTB;FUS,GO:BP,0.6519195612431444,0.3278783755556329,0.019381069324028704,Interaction
GOBP_PEPTIDYL_LYSINE_MODIFICATION,0.8890920320577965,0.8592109528763234,16,P3H4;SIRT3;NDUFAB1;UBE2I,GO:BP,0.6529549128794683,0.300440389783061,0.019093021445475332,Interaction
GOBP_DICARBOXYLIC_ACID_TRANSPORT,0.8910124378369637,-0.8486934632847137,12,ATP1A2;PRKG1;SEPTIN2;ARL6IP5;ITGB1;SLC16A1,GO:BP,0.6552486187845303,-0.3069074171715519,0.022225465565119215,Interaction
GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,0.8910124378369637,-0.8455957297262734,11,DYNC1LI1;PRKDC,GO:BP,0.6555604589585172,-0.31528610163678183,0.022193539126078802,Interaction
GOBP_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING,0.8910396883128224,-0.8502040504770249,13,HRC;ATP1A2;ATP1A1;CASQ2,GO:BP,0.6639470782800441,-0.30066968811969275,0.021982797088754183,Interaction
GOBP_ENDOSOME_TO_LYSOSOME_TRANSPORT,0.8910396883128224,-0.8558340934741653,17,TSG101;BIN1,GO:BP,0.6573885494455759,-0.2807468066452132,0.022549389686651333,Interaction
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,0.8910396883128224,-0.8887166909246108,43,EZR;MSN;DCTN1;RAP1B;PAFAH1B1;DYNLT1;MAP4;PAK1,GO:BP,0.6619613670133729,-0.22904083882278117,0.023888976975200323,Interaction
GOBP_GLYCOSYLATION,0.8910396883128224,-0.8510656867730679,13,PGM3;DAD1;RPN2;GMPPB;STT3A;DPM3,GO:BP,0.6624035281146637,-0.30097440075456966,0.022019416075025718,Interaction
GOBP_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY,0.8910396883128224,0.8564665629721092,18,CAV2;CILP;CAV1;FBN1;RBBP7;CRKL,GO:BP,0.6567403708987162,0.28980029105362115,0.018896532244281315,Interaction
